time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,52.188472,5.986998,16.3,,0
1,0,1,0.0,0.0,0,52.188453,5.98702,16.2,,0
2,0,1,3.22,3.18,0,52.188434,5.987043,16.2,,0
3,0,1,6.08,2.99,0,52.188414,5.987066,16.1,,0
4,0,1,8.66,2.73,0,52.188394,5.987088,16.1,,0
5,0,1,11.55,2.76,1,52.188373,5.987111,16.1,,0
6,0,1,14.45,2.79,1,52.188352,5.987134,16.0,,0
7,0,1,17.29,2.78,1,52.188331,5.987158,16.0,,0
8,0,1,20.29,2.6,1,52.188309,5.987181,16.0,,0
9,0,1,23.32,2.95,2,52.188286,5.987204,15.9,,0
10,0,1,26.33,2.96,2,52.188263,5.987227,15.9,,0
11,0,1,29.39,2.97,2,52.18824,5.98725,15.9,,7
12,0,1,32.45,2.98,3,52.188217,5.987273,15.9,,2
13,0,1,35.47,2.99,3,52.188193,5.987295,15.8,,1
14,0,1,38.61,2.78,3,52.188169,5.987318,15.8,,2
15,0,1,41.74,3.16,3,52.188145,5.98734,15.8,,2
16,0,1,44.84,3.07,4,52.18812,5.987362,15.7,,0
17,0,1,48.03,3.12,4,52.188095,5.987384,15.7,,2
18,0,1,51.22,3.17,4,52.18807,5.987405,15.7,,2
19,0,1,54.38,3.11,5,52.188045,5.987426,15.7,,1
20,0,1,57.63,2.92,5,52.188019,5.987447,15.6,,0
21,0,1,60.9,3.3,5,52.187994,5.987467,15.6,,2
22,0,1,64.14,3.25,5,52.187968,5.987487,15.6,,0
23,0,1,67.39,3.05,6,52.187942,5.987506,15.5,,0
24,0,1,70.64,3.16,6,52.187916,5.987524,15.5,,1
25,0,1,73.89,3.13,6,52.18789,5.987543,15.4,,0
26,0,1,77.14,3.09,7,52.187864,5.98756,15.4,,2
27,0,1,80.39,3.15,7,52.187838,5.987577,15.3,,2
28,0,1,83.64,3.12,7,52.187812,5.987593,15.3,,0
29,0,1,86.89,3.08,8,52.187786,5.987609,15.2,,2
30,0,1,90.14,3.11,8,52.18776,5.987623,15.2,,1
31,0,1,93.39,3.08,8,52.187734,5.987638,15.1,,0
32,0,1,96.64,3.05,8,52.187707,5.987651,15.1,,2
33,0,1,99.89,3.08,9,52.187681,5.987665,15.0,,2
34,0,1,103.14,3.07,9,52.187654,5.987678,15.0,,2
35,0,1,106.38,3.04,9,52.187627,5.98769,14.9,,2
36,0,1,109.63,3.09,10,52.1876,5.987703,14.9,,2
37,0,1,112.87,3.06,10,52.187573,5.987715,14.8,,0
38,0,1,116.12,3.03,10,52.187545,5.987727,14.8,,2
39,0,1,119.36,3.07,10,52.187517,5.987739,14.7,,2
40,0,1,122.6,3.06,11,52.18749,5.987751,14.7,,0
41,0,1,125.84,3.05,11,52.187462,5.987762,14.7,,3
42,0,1,129.08,3.09,11,52.187435,5.987773,14.7,,2
43,0,1,132.32,3.08,12,52.187409,5.987784,14.7,,0
44,0,1,135.56,3.07,12,52.187383,5.987795,14.7,,1
45,0,1,138.8,3.06,12,52.187359,5.987804,14.7,,2
46,0,1,142.04,3.04,13,52.187335,5.987814,14.7,,0
47,0,1,145.28,3.0,13,52.187313,5.987823,14.7,,2
48,0,1,148.52,2.98,13,52.187293,5.987831,14.7,,2
49,0,1,151.75,2.95,13,52.187273,5.987838,14.7,,1
50,0,1,154.99,2.91,14,52.187252,5.987846,14.7,,2
51,0,1,155.45,2.91,14,52.18723,5.987854,14.7,,2
52,0,1,158.14,2.9,14,52.187206,5.987863,14.7,,2
53,0,1,161.21,2.88,14,52.187184,5.987872,14.7,,2
54,0,1,163.95,2.87,15,52.187161,5.987882,14.7,,2
55,0,1,163.95,2.86,15,52.187138,5.987892,14.7,,0
56,0,1,163.95,2.85,15,52.187115,5.987902,14.7,,1
57,0,1,166.62,2.86,15,52.18709,5.987912,14.7,,2
58,0,1,169.38,2.85,15,52.187064,5.987922,14.8,,1
59,0,1,169.38,2.84,15,52.187037,5.987932,14.8,,2
60,0,1,169.38,2.85,15,52.18701,5.987942,14.8,,2
61,0,1,172.4,2.85,15,52.186982,5.987953,14.8,,0
62,0,1,176.24,2.84,16,52.186954,5.987964,14.8,,3
63,0,1,179.83,2.86,16,52.186926,5.987975,14.8,,2
64,0,1,180.08,2.86,16,52.186898,5.987986,14.8,,2
65,0,1,183.57,2.86,16,52.186872,5.987997,14.9,,2
66,0,1,186.98,2.86,17,52.186845,5.988009,14.9,,2
67,0,1,189.55,2.87,17,52.18682,5.98802,14.9,,1
68,0,1,192.73,2.86,17,52.186795,5.988032,14.9,,2
69,0,1,194.64,2.86,17,52.186771,5.988044,14.9,,2
70,0,2,197.38,2.87,18,52.186747,5.988056,14.9,,2
71,0,2,200.66,2.86,18,52.186722,5.988068,15.0,,0
72,0,2,204.15,2.86,18,52.186698,5.98808,15.0,,2
73,0,2,207.02,2.87,19,52.186674,5.988091,15.0,,1
74,0,2,209.31,2.86,19,52.186649,5.988103,15.0,,2
75,0,2,212.79,2.87,19,52.186624,5.988114,15.1,,2
76,0,2,215.59,2.87,19,52.186599,5.988125,15.1,,2
77,0,2,219.07,2.87,20,52.186573,5.988135,15.1,,2
78,0,2,222.46,2.87,20,52.186547,5.988146,15.1,,1
